Common Name,Scientific Name,Expansion Version,Color,Power Category,Power Text,Predator,Flocking,Bonus Card,Victory Points,Nest Type,Egg Capacity,Wingspan,Forest,Grassland,Wetland,Invertebrate,Seed,Fish,Fruit,Rodent,Nectar,Wild,/ (food cost),* (food cost),Total food cost,Anatomist,Cartographer,Historian,Photographer,Backyard Birder,Bird Bander,Bird Counter,Bird Feeder,Diet Specialist,Enclosure Builder,Falconer,Fishery Manager,Food Web Expert,Forester,Large Bird Specialist,Nest Box Builder,Omnivore Expert,Passerine Specialist,Platform Builder,Prairie Manager,Rodentologist,Viticulturalist,Wetland Scientist,Wildlife Gardener
Sprague's Pipit,Anthus spragueii,originalcore,White,Other,Draw 2 new bonus cards and keep 1.,,,X,3,Ground,3,25,,X,,1,1,,,,,,,,2,,,X,,X,,0,X,,X,0,,,,,,,X,,X,,,,
Squacco Heron,Ardeola ralloides,european,Brown,Card-drawing,Gain 1 face-up [card] that can live in [wetland].,,,,3,Platform,2,86,,,X,1,,1,,,,,,,2,,,,,X,,0,,,,0,X,,,X,,,,X,,,,X,
Steller's Jay,Cyanocitta stelleri,originalcore,Brown,Caching Food,Gain 1 [seed] from the birdfeeder (if available). You may cache it on this card.,,,,5,Bowl,2,48,X,,,,2,,,,,1,,,3,,,X,,,,0,X,X,,0,,,X,,,X,,,,,,,X
Stubble Quail,Coturnix pectoralis,oceania,White,,Discard up to 6 [wild]. Lay 1 [egg] on this bird for each discarded food.,,,,4,Ground,6,29,,X,,1,1,,,,,,X,,,,,,,,,0,X,,X,0,,,,,,,X,,X,,,,
Sulphur-Crested Cockatoo,Cacatua galerita,oceania,Brown,Card-drawing,"Tuck 1 [card] from your hand behind this bird. If you do, all players gain 1 [nectar] from the supply.",,X,,6,Cavity,2,103,X,,,,1,,1,,,,,,,X,,,X,,,X,X,,,0,,,X,X,X,,,,,,X,,
Superb Lyrebird,Menura novaehollandiae,oceania,Brown,Food-related,Copy a brown power on one bird in the [forest] of the player to your right.,,,,5,Wild,1,73,X,,,2,,,,,,1,,,,,,,,,,0,,X,X,0,,,X,X,X,X,,X,,,,,X
Swainson's Hawk,Buteo swainsoni,originalcore,Brown,Hunting/Fishing,"Look at a [card] from the deck. If <75cm, tuck it behind this bird. If not, discard it.",X,,,5,Platform,2,130,,X,,1,,,,1,,,,,2,,,X,,,,0,,,,X,,,,X,,,,X,X,X,,,
Tawny Frogmouth,Podargus strigoides,oceania,Brown,Flocking,Reset the birdfeeder. Cache 1 [invertebrate] or 1 [rodent] from the birdfeeder (if available) on this bird.,X,,,5,Platform,2,82,X,X,X,2,,,,1,,,,,,X,,,X,,X,0,,X,,X,,,,X,,,,X,,X,,,
Thekla's Lark,Galerida theklae,european,Brown,Egg-laying,"Discard 1 [seed] from your supply. If you do, lay 2 [egg] on this bird.",,,,4,Ground,3,34,,X,,2,1,,,,,,,,3,,,X,,,,0,X,X,X,0,,,,,,,,,X,,,,
Tree Swallow ,Tachycineta bicolor,originalcore,Brown,Flocking,"Tuck a [card] from your hand behind this bird. If you do, draw 1 [card].",,X,,3,Cavity,4,38,,,X,1,,,1,,,,,,2,,,,,X,,X,,,,0,,,,,X,,,,,,X,X,
Trumpeter Swan,Cygnus buccinator,originalcore,,,,,,,9,Ground,2,203,,,X,,2,,,,,1,,,3,,,,,,,0,X,X,X,0,,,,X,,X,,,,,,X,
Tufted Titmouse,Baeolophus bicolor,originalcore,White,Other,Play a second bird in your [forest]. Pay its normal cost.,,,,2,Cavity,3,25,X,,,1,1,,1,,,,X,,1,,,,,X,,0,X,,,0,,,X,,X,,X,,,,X,,
Tūī,Prosthemadera novaeseelandiae,oceania,Brown,Food-related,Copy a brown power on one bird in the [forest] of the player to your left.,,,,5,Bowl,2,42,X,,,1,,,,,2,,,,,,,,,,,0,,X,,0,,X,X,,,,,,,,,,X
Turkey Vulture,Cathartes aura,originalcore,Pink,Food from Birdfeeder,"When another player's predator succeeds, gain 1 [die] from the birdfeeder.",,,,1,Cavity,1,170,X,X,X,,,,,,,,,,0,,,,,X,X,0,,,,0,,,,X,X,,,,,,,,
Vaux's Swift,Chaetura vauxi,swiftstart,Brown,,"Tuck a [card] from your hand behind this bird. If you do, gain 1 [invertebrate] from the supply.",,X,,2,Cavity,3,31,X,,,1,,,,,,,,,1,,,X,,X,,X,,,,0,,X,X,,X,,,,,,,,
Violet-Green Swallow ,Tachycineta thalassina,originalcore,Brown,Flocking,"Tuck a [card] from your hand behind this bird. If you do, draw 1 [card].",,X,,3,Cavity,3,36,X,X,X,2,,,,,,,,,2,,,,X,X,X,X,,,,0,,X,,,X,,,,,,,,
Wedge-Tailed Eagle,Aquila audax,oceania,Brown,Food-related,"Look at a [card] from the deck. If its wingspan is over 65cm, tuck it behind this bird and cache 1 [rodent] from the supply on this bird. If not, discard it.",X,,,7,Platform,2,207,X,X,X,,,,,3,,,,,,X,,,,,X,0,,X,,X,,,,X,,,,X,,X,,,
Welcome Swallow,Hirundo neoxena,oceania,White,,"Tuck 1 [card] from the deck behind each bird in this habitat, including this bird.",,X,,1,Wild,5,28,,X,X,2,,,,,,,,,,,,,,X,X,X,,,X,0,,X,,,X,,X,X,,,,,X
Western Meadowlark,Sturnella neglecta,originalcore,Brown,Egg-laying,All players lay 1 [egg] on any 1 [ground] bird. You may lay 1 [egg] on 1 additional [ground] bird.,,,,2,Ground,4,38,,X,,1,1,,,,,,,,2,,X,,,X,,0,X,,X,0,,,,,,,,,X,,,,
Western Tanager,Piranga ludoviciana,originalcore,Brown,Food from Birdfeeder,"Gain 1 [invertebrate] or [fruit] from the birdfeeder, if there is one.",,,,6,Bowl,2,30,X,,,2,,,1,,,,,,3,,X,,,,,0,,X,,0,,,X,,,,X,,,,X,,X
White Stork,Ciconia ciconia,european,Brown,Card-drawing,"Discard all remaining face-up [card] and refill the tray. If you do, draw 1 of the new face-up [card].",,,,8,Platform,2,160,,X,X,1,,1,,,,1,,,3,,,,X,,X,0,,X,,0,X,,,X,,X,,X,,,,,
White Wagtail,Motacilla alba,european,Teal,Other,"If you used all 4 types of actions this round, play another bird. Pay its normal food and egg cost.",,,,2,Bowl,5,28,,X,X,2,,,,,,,,,2,X,,,X,X,X,0,,,,0,,X,,,,,X,,,,,,X
White-Backed Woodpecker,Dendrocopos leucotos,european,Brown,Food-related,Gain 1 [die] from the birdfeeder.,,,,2,Cavity,2,39,X,,,1,,,1,,,,X,,1,X,,,X,X,,0,,,,0,,,X,,X,,,,,,X,,
White-Bellied Sea-Eagle,Haliaeetus leucogaster,oceania,Brown,Card-drawing,"Reset the birdfeeder. Gain 1 [fish] or 1 [rodent] from the birdfeeder, if there is one, and cache it on this bird.",X,,,7,Platform,2,200,X,,X,,,1,,2,,,,,,X,X,,X,,X,0,,X,,X,X,,,X,,,,X,,X,,,
White-Breasted Nuthatch ,Sitta carolinensis,originalcore,Brown,Caching Food,Gain 1 [seed] from the supply and cache it on this card.,,,,2,Cavity,3,28,X,,,1,1,,,,,,X,,1,X,,,X,X,,0,X,,,0,,,X,,X,,X,,,,,,
White-Breasted Woodswallow,Artamus leucoryn,oceania,White,,"Lay 1 [egg] on each bird in your [grassland], including this one.",,,,3,Bowl,2,32,,X,,2,,,,,,,,,,X,,,X,X,,0,,,,0,,X,,,,,,,X,,,,X
White-Crowned Sparrow ,Zonotrichia leucophrys,originalcore,Brown,Other,"If this bird is to the right of all other birds in its habitat, move it to another habitat.",,,,2,Ground,5,25,X,X,X,1,1,,,,,,,,2,X,,,X,X,X,0,X,,X,0,,,,,,,X,,,,,,
White-Faced Heron,Egretta novaehollandiae,oceania,Brown,Tucking,"Reset the birdfeeder and gain all [fish], if there are any. You may cache any or all of them on this bird.",X,,,6,Platform,4,106,,,X,1,,1,,1,,,,,,X,,,X,,,0,,X,,X,X,,,X,,,,X,,X,,X,
White-Faced Ibis ,Plegadis chihi,originalcore,Brown,Hunting/Fishing,"Roll all dice not in birdfeeder. If any are [fish], gain 1 [fish] and cache it on this card.",X,,,8,Platform,2,91,,,X,2,,1,,,,,,,3,X,,,X,,,0,,X,,X,X,,,X,,,,X,,,,X,
White-Throated Dipper,Cinclus cinclus,european,Brown,Card-drawing,"Discard all remaining face-up [card] and refill the tray. If you do, draw 1 of the new face-up [card].",,,,3,Cavity,4,28,,,X,1,,1,,,,,,,2,X,,,X,X,,0,,,,0,X,,,,X,,X,,,,,X,
White-Throated Swift,Aeronautes saxatalis,swiftstart,Brown,,"Tuck a [card] from your hand behind this bird. If you do, lay 1 [egg] on any bird.",,X,,2,Cavity,2,38,,X,,1,,,,,,,,,1,X,,,X,X,,X,,,,0,,X,,,X,,,,X,,,,
Whooping Crane,Grus americana,originalcore,White,Other,Draw 2 new bonus cards and keep 1.,,,X,6,Ground,1,221,,,X,,,,,,,3,,,3,,,,,,,0,,X,X,0,,,,X,,X,,,,,,X,
Wild Turkey,Meleagris gallopavo,originalcore,,,,,,,8,Ground,5,135,X,X,,,2,,1,,,,,,3,,,,,,X,0,X,X,X,0,,,,X,,,,,,,X,,
Willet,Tringa semipalmata,originalcore,Brown,Hunting/Fishing,"Roll all dice not in birdfeeder. If any are [fish], gain 1 [fish] and cache it on this card.",X,,,4,Ground,2,66,,,X,1,,1,,,,,X,,1,,,,,,,0,,,X,X,X,,,X,,,,,,,,X,
Willie-Wagtail,Rhipidura leucophrys,oceania,Brown,Flocking,Draw 1 face-up [card] from the tray with a [bowl] or [star] nest. You may reset or refill the tray before doing so.,,,,2,Bowl,5,30,X,X,X,1,,,,,,1,,,,X,,,,X,X,0,,,,0,,,,,,X,X,,,,,,X
Wilson's Snipe,Gallinago delicata,originalcore,Brown,Card-drawing,All players draw 1 [card] from the deck.,,,,5,Ground,2,41,,,X,1,,,,,,,,,1,,,X,,,,0,,,X,0,,X,,,,,,,,,,X,
Wilson's Storm Petrel,Oceanites oceanicus,european,Brown,Card-drawing,"Draw 1 [card] for each empty card slot in this row. At the end of your turn, keep 1 and discard the rest.",,,,6,Wild,1,38,,,X,1,,2,,,,,,,3,,,X,,,,0,,X,X,0,X,,,,X,,,X,,,,X,X
Wood Duck,Aix sponsa,originalcore,Brown,Card-drawing,"Draw 2 [card]. If you do, discard 1 [card] from your hand at the end of your turn.",,,,4,Cavity,4,76,X,,X,,2,,1,,,,,,3,,,,,,X,0,X,X,,0,,,,X,X,,,,,,X,,
Wood Stork,Mycteria americana,originalcore,White,Other,Draw 2 new bonus cards and keep 1.,,,X,6,Platform,2,155,,,X,,,1,,1,,1,,,3,,,,,,,0,,X,,0,X,,,X,,X,,X,,X,,X,
Wrybill,Anarhynchus frontalis,oceania,White,,Look through all discarded bonus cards. Keep 1 of them.,,,X,4,Ground,2,49,,,X,1,,1,,,,,,,,X,,,,,,0,,,X,0,X,,,,,,,,,,,X,
Yellow-Bellied Sapsucker ,Sphyrapicus varius,originalcore,Brown,Food from Supply,Gain 1 [invertebrate] from the supply.,,,,3,Cavity,3,41,X,,,1,,,1,,,,,,2,X,,,X,X,,0,,,,0,,,X,,X,,,,,,X,,
Yellow-Billed Cuckoo,Coccyzus americanus,originalcore,Pink,Egg-laying,"When another player takes the ""lay eggs"" action, this bird lays 1 [egg] on another bird with a [bowl] nest.",,,,5,Platform,2,46,X,,,2,,,,,,1,,,3,X,,,X,,,0,,X,,0,,,X,,,X,,X,,,,,
Yellow-Breasted Chat ,Icteria virens,originalcore,Brown,Other,"If this bird is to the right of all other birds in its habitat, move it to another habitat.",,,,5,Bowl,3,25,X,X,X,1,,,2,,,,,,3,X,,,X,,X,0,,X,,0,,,,,,,X,,,,X,,X
Yellow-Headed Blackbird ,Xanthocephalus xanthocephalus,originalcore,Brown,Flocking,"Tuck a [card] from your hand behind this bird. If you do, also lay 1 [egg] on this bird.",,X,,4,Bowl,3,38,,,X,1,1,,,,,,,,2,X,,,X,,,X,X,,,0,,,,,,,,,,,,X,X
Yellow-Rumped Warbler ,Setophaga coronata,originalcore,Brown,Flocking,"Tuck a [card] from your hand behind this bird. If you do, draw 1 [card].",,X,,1,Bowl,4,23,X,,,1,1,,1,,,,X,,1,X,,,X,X,,X,X,,,0,,,X,,,,X,,,,X,,X
Yellowhammer,Emberiza citrinella,european,Teal,Other,"If you used all 4 types of actions this round, play another bird. Pay its normal food and egg cost.",,,,2,Ground,3,26,X,X,,,2,,,,,,,,2,,,,X,X,X,0,X,,X,0,,,,,,,X,,,,,,
